词语	强度	极性
舍本事末	midsubj	negative
方枘圆凿	weaksubj	negative
牛蹄之涔	strongsubj	0
邂逅相遇	weaksubj	positive
当场出彩	strongsubj	negative
泄露天机	midsubj	0
转祸为福	strongsubj	positive
此一时，彼一时	weaksubj	negative
危机存亡之秋	strongsubj	0
针锋相对	strongsubj	0
兄弟阋墙	strongsubj	negative
牵强附会	midsubj	negative
空穴来风	midsubj	negative
欺良压善	midsubj	negative
肆言谩骂	strongsubj	negative
悍然不顾	strongsubj	negative
含垢藏疾	strongsubj	negative
败军之将	midsubj	negative
河东狮吼	weaksubj	negative
咏月嘲风	weaksubj	negative
呼朋引类	midsubj	negative
拖人下水	midsubj	negative
群龙无首	midsubj	0
惹火烧身	midsubj	0
引水入墙	midsubj	negative
大呼小叫	weaksubj	negative
推三阻四	midsubj	negative
应权通变	weaksubj	positive
包打天下	midsubj	negative
殚精竭虑	strongsubj	positive
不了了之	weaksubj	negative
目无王法	strongsubj	negative
金龟换酒	midsubj	positive
春暖花开	midsubj	positive
柳暗花明	midsubj	positive
林寒涧肃	midsubj	0
雪虐风饕	strongsubj	negative
惨绿愁红	midsubj	0
火树银花	midsubj	positive
黯然失色	midsubj	negative
虎头虎脑	midsubj	positive
窥间伺隙	strongsubj	negative
惊弓之鸟	strongsubj	negative
打草惊蛇	midsubj	negative
拿糖作醋	midsubj	negative
深图密虑	midsubj	positive
孤掌难鸣	midsubj	0
文才武略	midsubj	positive
钻天入地	strongsubj	positive
才气过人	strongsubj	positive
公才公望	strongsubj	positive
绝世无双	strongsubj	positive
弸中彪外	strongsubj	positive
人中骐骥	strongsubj	positive
王佐之才	strongsubj	positive
崭露头角	midsubj	positive
大方之家	midsubj	positive
观于海者难为水	midsubj	positive
满腹诗书	strongsubj	positive
井底之蛙	midsubj	negative
远见卓识	strongsubj	positive
岁寒知松柏	strongsubj	positive
平步青云	midsubj	positive
感恩戴德	strongsubj	positive
面壁功深	strongsubj	positive
英雄所见略同	strongsubj	positive
心余力绌	midsubj	0
土鸡瓦犬	midsubj	negative
一纸空文	midsubj	negative
怪模怪样	weaksubj	negative
一得之功	weaksubj	positive
对酒当歌	midsubj	positive
生死不二	midsubj	positive
小家碧玉	weaksubj	positive
河汾门下	weaksubj	positive
龙眉皓发	weaksubj	positive
乐道安贫	midsubj	positive
吹灰之力	strongsubj	positive
以碫投卵	strongsubj	positive
倾心吐胆	weaksubj	positive
夫唱妇随	weaksubj	positive
方兴未艾	strongsubj	positive
与日俱增	midsubj	positive
功垂竹帛	strongsubj	positive
倍道兼行	strongsubj	positive
攻苦食淡	strongsubj	positive
韦编三绝	strongsubj	positive
自强不息	strongsubj	positive
耳闻不如目见	weaksubj	positive
割股之心	midsubj	positive
相辅相成	weaksubj	positive
鼋鸣鳖应	weaksubj	positive
独步一时	midsubj	positive
国士无双	strongsubj	positive
教一识百	weaksubj	positive
手不停挥	midsubj	0
五行并下	weaksubj	positive
工欲善其事，必先利其器	weaksubj	positive
面面俱到	midsubj	0
名士风流	midsubj	positive
一表非俗	weaksubj	positive
靡颜腻理	midsubj	positive
星眸皓齿	midsubj	positive
丰姿冶丽	strongsubj	positive
白发红颜	weaksubj	positive
知恩报恩	midsubj	positive
欧鹭忘机	weaksubj	positive
推诚相见	midsubj	positive
直到事人	midsubj	positive
情见乎辞	weaksubj	positive
经始大业	strongsubj	positive
待时守分	weaksubj	positive
改天换地	midsubj	positive
与民更始	weaksubj	positive
得饶人处且饶人	weaksubj	0
略迹原情	weaksubj	positive
雅量豁然	midsubj	positive
力争经营	weaksubj	positive
箭不虚发	midsubj	positive
围魏救赵	weaksubj	0
百战百胜	strongsubj	positive
挥戈反日	strongsubj	positive
生力军	weaksubj	positive
骁勇善战	midsubj	positive
左萦右拂	weaksubj	positive
目不窥园	weaksubj	positive
鹰瞵鹗视	weaksubj	negative
载酒问字	weaksubj	positive
教导有方	midsubj	positive
改过迁善	midsubj	positive
洗心换骨	midsubj	positive
不衫不履	weaksubj	negative
阿谀顺旨	midsubj	negative
妨功害能	midsubj	negative
大腹便便	weaksubj	negative
老态龙钟	weaksubj	negative
流年不利	weaksubj	negative
功败垂成	strongsubj	0
无济于事	midsubj	0
落荒而逃	strongsubj	negative
损兵折将	weaksubj	negative
莫此为甚	strongsubj	negative
绣花枕头	midsubj	negative
不舞之鹤	midsubj	negative
朽木不雕	midsubj	negative
害人不浅	strongsubj	negative
无可救药	strongsubj	negative
鼠窃狗盗	midsubj	negative
天诛地灭	strongsubj	negative
戴盆望天	weaksubj	negative
弄巧成拙	midsubj	negative
以狸饵鼠	midsubj	negative
袭人故技	midsubj	negative
反裘负刍	midsubj	negative
鸡胸龟背	weaksubj	negative
谄上抑下	midsubj	negative
罪莫大焉	strongsubj	negative
身败名裂	strongsubj	negative
困而学之	weaksubj	positive
一簧两舌	midsubj	negative
悬断是非	weaksubj	negative
玩物丧志	strongsubj	negative
赔了夫人又折兵	strongsubj	negative
自食其果	strongsubj	negative
迁延过时	weaksubj	0
不露圭角	weaksubj	positive
家业凋零	weaksubj	0
缄口藏舌	weaksubj	negative
羞与为伍	midsubj	negative
泥牛入海	midsubj	0
凡夫俗子	weaksubj	negative
不安于室	midsubj	negative
无翼而飞	midsubj	0
傅粉何郎	midsubj	positive
因小失大	midsubj	negative
囫囵吞枣	midsubj	negative
雕章琢句	weaksubj	positive
乞浆得酒	weaksubj	0
情窦初开	weaksubj	0
道义之交	weaksubj	0
深情厚谊	weaksubj	0
一见如故	weaksubj	0
不期然而然	weaksubj	0
猝不及防	midsubj	0
交浅言深	weaksubj	positive
不同流俗	midsubj	positive
归马放牛	weaksubj	0
寂天寞地	weaksubj	negative
患难之交	weaksubj	0
一丝不挂	weaksubj	0
须眉交白	weaksubj	0
首肯心折	strongsubj	positive
玉昆金友	strongsubj	positive
不忘故剑	weaksubj	positive
耳闻目睹	weaksubj	0
切磋琢磨	weaksubj	0
研核是非	weaksubj	0
道听途说	weaksubj	0
自顾不暇	weaksubj	0
荆钗布裙	weaksubj	0
白黑分明	midsubj	positive
运用之妙，存乎一心	weaksubj	positive
班师回朝	midsubj	positive
含英咀华	weaksubj	positive
五车书	midsubj	positive
承上启下	weaksubj	0
鸿篇巨制	midsubj	positive
正心诚意	midsubj	positive
小廉曲谨	midsubj	positive
单枪匹马	strongsubj	positive
履险如夷	strongsubj	positive
勇者不惧	strongsubj	positive
宁为玉碎，不为瓦全	weaksubj	positive
安危与共	midsubj	positive
大杖则走	midsubj	positive
程门立雪	midsubj	positive
敬天爱民	strongsubj	positive
以礼相待	strongsubj	positive
集思广益	midsubj	positive
朝闻夕改	midsubj	positive
卑以自牧	weaksubj	3
大巧若拙	strongsubj	positive
管窥之见	midsubj	negative
一得之愚	weaksubj	0
傲贤慢士	midsubj	negative
骄兵必败	midsubj	negative
舍我其谁	midsubj	positive
敲门砖	weaksubj	0
争权夺利	midsubj	negative
狼心狗行	strongsubj	negative
贪如虎狼	strongsubj	negative
买空卖空	midsubj	negative
哇塞	strongsubj	positive
TNND	midsubj	negative
滚出去	strongsubj	negative
ding	strongsubj	positive
HJ	strongsubj	negative
JR	strongsubj	negative
LJ	midsubj	negative
TMD	strongsubj	0
巨强	strongsubj	positive
爽歪歪	strongsubj	positive
qiang	weaksubj	positive
hiahia	weaksubj	0
_so	weaksubj	0
赞一个	midsubj	positive
哇靠	midsubj	0
三天打鱼，两天晒网	midsubj	negative
后果	weaksubj	negative
谎言	weaksubj	negative
苛刻	midsubj	negative
呆板	weaksubj	negative
堕落	weaksubj	negative
刻薄	strongsubj	negative
旷课	weaksubj	negative
拉后腿	midsubj	negative
颇有微词	midsubj	negative
利令智昏	midsubj	negative
落井下石	strongsubj	negative
每况愈下	weaksubj	negative
明枪暗箭	weaksubj	negative
萎靡	weaksubj	negative
大惊小怪	weaksubj	0
倒胃口	midsubj	negative
专横	midsubj	negative
狡狯	weaksubj	negative
死板	weaksubj	negative
粗俗	strongsubj	negative
巧舌如簧	weaksubj	negative
蜻蜓点水	weaksubj	negative
轻视	midsubj	negative
散漫	midsubj	negative
碎嘴子	midsubj	negative
情妇	weaksubj	negative
怂恿	weaksubj	negative
目瞪口呆	strongsubj	0
挑毛拣刺	weaksubj	negative
熟视无睹	midsubj	negative
忘恩负义	strongsubj	negative
无法无天	strongsubj	negative
无所用心	midsubj	negative
怪罪	strongsubj	0
想入非非	weaksubj	negative
庸碌	weaksubj	negative
杂乱无章	weaksubj	negative
无视	weaksubj	negative
穷凶极恶	strongsubj	negative
险诈	strongsubj	negative
卑污	strongsubj	negative
狗彘不若	strongsubj	negative
刁顽	strongsubj	negative
诡计多端	strongsubj	negative
德薄	strongsubj	negative
狗熊	strongsubj	negative
不逊	midsubj	negative
孤芳自赏	strongsubj	negative
骄气	midsubj	negative
执拗	weaksubj	negative
至死不悟	midsubj	negative
乖张	midsubj	negative
装佯	weaksubj	negative
滑头滑脑	midsubj	negative
一头儿沉	weaksubj	negative
小家子气	midsubj	negative
胶柱鼓瑟	weaksubj	negative
横蛮	midsubj	negative
卖嘴	weaksubj	negative
摆架子	midsubj	negative
率尔	midsubj	negative
愚陋	strongsubj	negative
不知死活	midsubj	negative
轻佻	strongsubj	negative
佻巧	weaksubj	negative
可鄙	strongsubj	negative
不孝	strongsubj	negative
守旧	weaksubj	negative
杂沓	weaksubj	negative
苟且	strongsubj	negative
心猿意马	weaksubj	negative
朝秦暮楚	midsubj	negative
矫饰	weaksubj	negative
离格	midsubj	negative
胁肩谄笑	strongsubj	negative
哄骗	midsubj	negative
欺上瞒下	midsubj	negative
弄鬼	weaksubj	negative
乱来	midsubj	negative
暴力行为	midsubj	negative
诱拐	midsubj	negative
倦怠	weaksubj	negative
流水无情	weaksubj	negative
讽刺	weaksubj	negative
爱管闲事	weaksubj	negative
弛缓	weaksubj	negative
低级	strongsubj	negative
白日做梦－胡思乱想	midsubj	negative
笼统	weaksubj	negative
偏僻	weaksubj	negative
事不关己	weaksubj	negative
木石心肠	strongsubj	negative
粪土不如	strongsubj	negative
模模糊糊	weaksubj	negative
蜗行牛步	weaksubj	negative
小崽子	weaksubj	negative
一言堂	midsubj	negative
不可理喻	midsubj	negative
固步自封	midsubj	negative
方巾气	weaksubj	negative
偏失	weaksubj	negative
讪笑	midsubj	negative
不合时宜	weaksubj	negative
利己	strongsubj	negative
欲壑难填	strongsubj	negative
淫心	strongsubj	negative
凡俗	strongsubj	negative
无耻之徒	strongsubj	negative
看财奴	midsubj	negative
淫乱	strongsubj	negative
淫糜	strongsubj	negative
漫骂	midsubj	negative
喜新厌旧	midsubj	negative
以怨报德	strongsubj	negative
耍花腔	weaksubj	negative
狐媚	midsubj	negative
点头哈腰	midsubj	negative
漏洞百出	midsubj	negative
浮浅	midsubj	negative
一钱不值	strongsubj	negative
以偏概全	weaksubj	negative
无理	weaksubj	negative
狗屁不通	midsubj	negative
劣迹昭著	strongsubj	negative
质次价高	strongsubj	negative
名过其实	weaksubj	negative
假劣	weaksubj	negative
心口不一	weaksubj	negative
不好	weaksubj	negative
昂贵	weaksubj	0
阿Q	weaksubj	negative
暗事	weaksubj	negative
霸持	weaksubj	negative
白字	weaksubj	negative
败子	midsubj	negative
爆烈	weaksubj	negative
逼供	weaksubj	negative
贬低	midsubj	negative
不堪	strongsubj	negative
飘飘然	weaksubj	0
失惊打怪	strongsubj	0
切切在心	strongsubj	0
伫结之情	midsubj	0
音容宛在	weaksubj	0
自信	midsubj	positive
胆怯	weaksubj	negative
赖皮	midsubj	negative
迟疑	weaksubj	0
调皮	weaksubj	0
津津有味	weaksubj	positive
大跌眼镜	strongsubj	0
惊愕	strongsubj	0
神奇	midsubj	0
定心丸	strongsubj	positive
沉着	weaksubj	positive
知足	midsubj	0
精辟	strongsubj	positive
裨益	weaksubj	positive
彪炳	strongsubj	positive
彬彬	midsubj	positive
秉直	midsubj	positive
博览	midsubj	positive
才调	midsubj	positive
才思	midsubj	positive
彩旗	weaksubj	positive
苍茫	weaksubj	positive
长策	weaksubj	positive
侧足	weaksubj	negative
差失	weaksubj	negative
掺和	weaksubj	negative
缠磨	weaksubj	negative
吵嚷	weaksubj	negative
扯腿	weaksubj	negative
陈套	weaksubj	negative
畅茂	weaksubj	positive
畅游	midsubj	positive
超前	weaksubj	positive
沉雄	midsubj	positive
称叹	strongsubj	positive
吃瘪	weaksubj	negative
迟到	weaksubj	negative
仇敌	midsubj	negative
充数	weaksubj	negative
丑角	weaksubj	negative
仇隙	midsubj	negative
呈正	strongsubj	0
澄明	weaksubj	positive
冲杀	weaksubj	negative
出尘	strongsubj	positive
传诵	weaksubj	positive
出逃	weaksubj	negative
创造	weaksubj	0
春光	weaksubj	positive
纯贞	midsubj	positive
疮痍	strongsubj	negative
蠢材	strongsubj	negative
次货	weaksubj	negative
促狭	weaksubj	negative
篡国	midsubj	negative
错讹	weaksubj	negative
打手	weaksubj	negative
党阀	strongsubj	negative
倒灶	midsubj	negative
盗窃	midsubj	negative
瑰奇	midsubj	positive
国粹	midsubj	positive
国手	midsubj	positive
憨态	weaksubj	positive
酣饮	weaksubj	positive
敌人	midsubj	negative
地狱	midsubj	negative
喋血	strongsubj	negative
毒草	midsubj	negative
毒素	midsubj	negative
堵心	midsubj	negative
短气	weaksubj	negative
躲懒	weaksubj	negative
扼杀	midsubj	negative
恶声	midsubj	negative
儿戏	strongsubj	negative
发热	weaksubj	0
樊笼	weaksubj	negative
犯法	midsubj	negative
犯罪	midsubj	negative
妨害	weaksubj	negative
匪帮	midsubj	negative
匪盗	strongsubj	negative
废人	midsubj	negative
粪土	midsubj	negative
浮荡	strongsubj	negative
负面	weaksubj	negative
干扰	weaksubj	negative
割裂	weaksubj	negative
苟活	weaksubj	negative
股匪	weaksubj	negative
官场	weaksubj	negative
惯窃	midsubj	negative
鬼话	weaksubj	negative
慈蔼	midsubj	positive
辞行	weaksubj	0
葱绿	weaksubj	positive
粹集	weaksubj	positive
存候	weaksubj	0
答礼	weaksubj	positive
大胆	weaksubj	negative
大人物	weaksubj	positive
大幸	midsubj	positive
黛蓝	weaksubj	0
胆识	midsubj	positive
鬼胎	midsubj	negative
得济	weaksubj	0
得行	midsubj	positive
的真	weaksubj	positive
地望	weaksubj	positive
惦挂	strongsubj	0
鼎盛	midsubj	positive
过度	weaksubj	negative
含冤	midsubj	negative
黑店	weaksubj	negative
黑窝	weaksubj	negative
哄弄	weaksubj	negative
胡言	midsubj	negative
坏话	weaksubj	negative
惶悚	strongsubj	negative
毁伤	weaksubj	negative
秽闻	midsubj	negative
混混儿	midsubj	negative
祸首	midsubj	negative
挤对	weaksubj	negative
假冒	midsubj	negative
奸徒	midsubj	negative
僵化	weaksubj	negative
狡赖	midsubj	negative
斤斤	weaksubj	negative
纠集	midsubj	negative
阔绰	weaksubj	0
癞子	weaksubj	negative
苛政	midsubj	negative
空耗	weaksubj	negative
东风	weaksubj	positive
洞见	weaksubj	positive
洞悉	weaksubj	positive
亏待	weaksubj	negative
溃乱	weaksubj	negative
督师	weaksubj	positive
笃守	midsubj	positive
端丽	weaksubj	positive
墩朴	weaksubj	positive
夺冠	midsubj	positive
恩爱	weaksubj	positive
恩义	weaksubj	positive
发轫	weaksubj	positive
繁花	weaksubj	positive
芳醇	weaksubj	positive
芳馨	weaksubj	positive
飞奔	weaksubj	0
肥美	midsubj	positive
奋进	midsubj	positive
丰年	weaksubj	positive
丰沃	weaksubj	positive
风华	midsubj	positive
奉行	midsubj	0
辅佐	weaksubj	0
富岁	weaksubj	positive
改革	weaksubj	positive
甘芳	weaksubj	positive
甘旨	midsubj	positive
刚气	midsubj	positive
高唱	weaksubj	0
高峻	weaksubj	positive
稂莠	midsubj	negative
勒逼	midsubj	negative
冷箭	midsubj	negative
利诱	midsubj	negative
凌乱	strongsubj	negative
流寇	midsubj	negative
高士	strongsubj	positive
漏网	weaksubj	negative
乱臣	weaksubj	negative
掠取	weaksubj	negative
落难	midsubj	0
骂名	midsubj	negative
盲干	weaksubj	negative
没趣	weaksubj	negative
媚态	weaksubj	negative
靡费	weaksubj	negative
名利	weaksubj	0
魔掌	midsubj	negative
告竣	weaksubj	positive
根绝	weaksubj	0
工力	strongsubj	positive
攻破	weaksubj	positive
功劳	weaksubj	positive
公评	midsubj	positive
拱服	midsubj	positive
鼓动	weaksubj	negative
末流	weaksubj	negative
关爱	midsubj	positive
谋杀	midsubj	negative
管用	weaksubj	positive
光华	strongsubj	positive
光泽	weaksubj	positive
恼人	weaksubj	negative
闺秀	strongsubj	positive
泥古	weaksubj	negative
蔫儿坏	weaksubj	negative
扭曲	strongsubj	negative
虐杀	strongsubj	negative
排外	weaksubj	0
叛卖	strongsubj	negative
悍勇	weaksubj	positive
豪侠	strongsubj	positive
赔帐	midsubj	negative
披靡	weaksubj	negative
僻陋	weaksubj	negative
骗子	midsubj	negative
泼皮	midsubj	negative
破约	weaksubj	negative
乞降	midsubj	negative
愆尤	weaksubj	negative
谴谪	midsubj	negative
强权	midsubj	negative
诮呵	weaksubj	negative
河岳	strongsubj	positive
合理化	weaksubj	positive
和祥	strongsubj	positive
贺幛	weaksubj	positive
红榜	weaksubj	positive
红旗	weaksubj	0
洪流	weaksubj	0
宏朗	weaksubj	positive
厚礼	weaksubj	positive
虎威	midsubj	positive
花朵	weaksubj	positive
欢唱	strongsubj	positive
欢送	weaksubj	positive
挥斥	midsubj	3
徽号	midsubj	positive
惠及	midsubj	positive
活动家	weaksubj	positive
豁然	strongsubj	positive
激越	strongsubj	positive
机断	midsubj	positive
吉利	strongsubj	positive
吉兆	strongsubj	positive
侵凌	strongsubj	negative
轻信	weaksubj	negative
囚徒	weaksubj	negative
蛆虫	strongsubj	negative
权门	midsubj	negative
染缸	weaksubj	negative
忍心	weaksubj	negative
揉磨	weaksubj	negative
丧钟	weaksubj	negative
涩滞	weaksubj	negative
伤疤	midsubj	0
烧包	midsubj	negative
神伤	midsubj	negative
失宠	midsubj	negative
失神	midsubj	negative
失足	weaksubj	negative
势焰	strongsubj	negative
受害	strongsubj	negative
受屈	midsubj	negative
耍弄	strongsubj	negative
私弊	midsubj	negative
死党	midsubj	positive
肆行	midsubj	negative
损毁	midsubj	negative
嗒丧	midsubj	negative
傥荡	midsubj	negative
套话	midsubj	negative
挑弄	strongsubj	negative
铜臭	midsubj	negative
头子	midsubj	negative
土匪	midsubj	negative
退坡	midsubj	negative
歪道	strongsubj	negative
顽敌	midsubj	negative
妄念	midsubj	negative
危机	midsubj	negative
违犯	midsubj	negative
窝点	strongsubj	negative
芜鄙	midsubj	negative
西化	weaksubj	negative
细弱	weaksubj	negative
瑕疵	midsubj	negative
罅漏	midsubj	negative
险兆	midsubj	negative
嚣杂	weaksubj	negative
效颦	midsubj	negative
邪路	strongsubj	negative
胁从	midsubj	negative
腥膻	weaksubj	negative
凶器	midsubj	negative
凶宅	midsubj	negative
虚报	midsubj	negative
虚设	midsubj	negative
蓄谋	strongsubj	negative
炫惑	midsubj	negative
逊色	weaksubj	negative
严重	weaksubj	negative
仰攀	midsubj	negative
妖物	midsubj	negative
一帮	weaksubj	negative
遗祸	midsubj	negative
臆造	midsubj	negative
阴晦	midsubj	negative
淫风	midsubj	negative
淫逸	midsubj	negative
营私	midsubj	negative
忧患	midsubj	negative
诱发	midsubj	negative
迂阔	midsubj	negative
愚痴	midsubj	negative
郁怒	midsubj	negative
冤结	midsubj	negative
冤头	midsubj	negative
元恶	midsubj	negative
怨苦	midsubj	negative
亲谊	weaksubj	positive
勤敏	midsubj	positive
清芬	weaksubj	positive
杂凑	weaksubj	negative
灾病	midsubj	negative
清淡	weaksubj	0
油腻	weaksubj	negative
凄怆	strongsubj	0
草鸡	strongsubj	negative
作难	strongsubj	0
冗杂	midsubj	negative
豪爽	strongsubj	positive
使性子	weaksubj	negative
永恒	midsubj	positive
老古董	midsubj	negative
纪念	midsubj	0
娇滴滴	strongsubj	positive
坚决	weaksubj	positive
名不虚传	midsubj	positive
自是	midsubj	negative
宠辱不惊	strongsubj	positive
诬陷	strongsubj	negative
明目张胆	midsubj	negative
见识	midsubj	positive
朝不保夕	midsubj	0
暗箭	strongsubj	negative
不念旧恶	midsubj	positive
大势已去	midsubj	0
挂羊头卖狗肉	strongsubj	negative
金针	midsubj	positive
败落	strongsubj	negative
到家	strongsubj	positive
桑榆暮景	weaksubj	0
风和日丽	strongsubj	positive
和平	weaksubj	0
血性	strongsubj	positive
弛懈	weaksubj	negative
纯净	weaksubj	positive
除旧布新	weaksubj	positive
三朝元老	midsubj	positive
侵犯	midsubj	negative
算计	strongsubj	negative
单薄	weaksubj	0
斤斤计较	strongsubj	negative
假意	midsubj	negative
花团锦簇	midsubj	positive
尖刻	midsubj	negative
神妙	strongsubj	positive
起死回生	strongsubj	positive
莫逆之交	weaksubj	positive
敷衍	midsubj	negative
表率	midsubj	positive
吐气扬眉	midsubj	positive
触犯	weaksubj	negative
险要	weaksubj	0
浪子	weaksubj	negative
威严	midsubj	positive
随便	midsubj	negative
友好	weaksubj	positive
丢丑	strongsubj	negative
污浊	weaksubj	negative
如臂使指	midsubj	positive
点火	midsubj	negative
姹紫嫣红	weaksubj	positive
宠儿	weaksubj	negative
万马奔腾	strongsubj	positive
严谨	midsubj	positive
缓和	weaksubj	0
痴子	strongsubj	negative
蹉跎	strongsubj	0
尊敬	weaksubj	positive
扰乱	weaksubj	negative
锲而不舍	midsubj	positive
盛大	midsubj	positive
轻易	weaksubj	0
窄小	weaksubj	0
生涩	weaksubj	negative
狐狸精	strongsubj	negative
纯真	midsubj	positive
精深	strongsubj	positive
涵养	weaksubj	positive
奋起	weaksubj	positive
肆无忌惮	strongsubj	negative
衰弱	weaksubj	0
率由旧章	weaksubj	negative
潺潺	weaksubj	0
褒奖	strongsubj	positive
拘板	weaksubj	negative
啼饥号寒	strongsubj	0
甜丝丝	strongsubj	positive
缓解	weaksubj	0
不管三七二十一	weaksubj	negative
回报	weaksubj	0
纷繁	weaksubj	0
闪失	weaksubj	0
退却	midsubj	negative
穷途末路	midsubj	0
完美	strongsubj	positive
风和日暖	weaksubj	positive
谬误	weaksubj	negative
舍己为人	midsubj	positive
钟情	strongsubj	0
讨价还价	weaksubj	negative
奴颜婢膝	strongsubj	negative
挑唆	midsubj	negative
粗疏	weaksubj	negative
扎实	midsubj	positive
醇朴	strongsubj	positive
廉政勤政	midsubj	positive
琐碎	weaksubj	negative
革命	weaksubj	positive
严厉	midsubj	0
不对	weaksubj	negative
陈陈相因	strongsubj	negative
功力	weaksubj	positive
十拿九稳	strongsubj	positive
轻柔	midsubj	0
锐利	midsubj	positive
突如其来	midsubj	0
雅正	midsubj	positive
践踏	strongsubj	negative
侵扰	weaksubj	negative
施舍	weaksubj	0
周全	midsubj	positive
莽苍	weaksubj	0
模糊	weaksubj	negative
抱歉	midsubj	0
恬不知耻	strongsubj	negative
光怪陆离	weaksubj	0
坚固	weaksubj	positive
并进	weaksubj	positive
栽跟头	strongsubj	negative
东鳞西爪	weaksubj	negative
凌虐	strongsubj	negative
多姿多彩	midsubj	positive
艰难	weaksubj	0
横财	weaksubj	negative
当道	strongsubj	negative
妖冶	midsubj	negative
无拘无束	strongsubj	positive
平衡	weaksubj	0
巍峨	midsubj	positive
希望	midsubj	0
朝三暮四	midsubj	negative
忧伤	strongsubj	0
跃然纸上	strongsubj	positive
洞察	weaksubj	0
理所当然	midsubj	0
气息奄奄	weaksubj	0
磨杵成针	midsubj	positive
宏大	strongsubj	positive
纯朴	midsubj	positive
疾言厉色	midsubj	0
坍台	strongsubj	negative
纯正	midsubj	positive
任性	weaksubj	negative
危殆	midsubj	0
强弩之末	midsubj	negative
流毒	strongsubj	negative
抖搂	midsubj	negative
奸邪	strongsubj	negative
可敬	midsubj	positive
畅快	strongsubj	positive
沁人心脾	midsubj	positive
过不去	strongsubj	0
抢占	weaksubj	0
充沛	midsubj	positive
豪放	midsubj	positive
厌烦	strongsubj	0
落伍	midsubj	negative
利害	midsubj	positive
大智若愚	midsubj	positive
奸佞	strongsubj	negative
悔过	strongsubj	negative
痴心妄想	strongsubj	negative
稳步	weaksubj	positive
一目了然	weaksubj	0
匆忙	weaksubj	0
潇洒	midsubj	positive
赤子	weaksubj	0
富足	midsubj	positive
轻装	weaksubj	0
内乱	strongsubj	negative
扶持	weaksubj	0
如丧考妣	strongsubj	negative
光前裕后	strongsubj	positive
造谣	midsubj	negative
与世无争	weaksubj	positive
衰退	weaksubj	0
笑话	weaksubj	0
窟窿	weaksubj	0
大爷	weaksubj	positive
鄙吝	strongsubj	negative
正经	strongsubj	positive
还礼	weaksubj	0
清爽	strongsubj	positive
讨厌	strongsubj	negative
对头	strongsubj	0
光耀	midsubj	positive
公道	midsubj	positive
烈士	midsubj	positive
功绩	weaksubj	positive
难受	midsubj	0
疏忽	weaksubj	negative
区区	weaksubj	negative
紧张	midsubj	0
低头	midsubj	0
客气	weaksubj	0
险恶	midsubj	negative
对立	weaksubj	0
气焰	midsubj	negative
凶险	midsubj	negative
数米而炊	weaksubj	0
七上八下	midsubj	0
追求	midsubj	positive
干燥	weaksubj	0
对付	weaksubj	negative
十足	weaksubj	0
好人	weaksubj	0
好事	midsubj	negative
灾殃	midsubj	negative
脏话	midsubj	negative
糟朽	midsubj	negative
遭罪	midsubj	negative
造孽	midsubj	negative
贼窝	midsubj	negative
清俊	midsubj	positive
招风	weaksubj	negative
饯别	weaksubj	0
支使	midsubj	negative
指责	midsubj	negative
见世面	weaksubj	0
教坛	weaksubj	0
清切	weaksubj	positive
清逸	midsubj	positive
锦缎	weaksubj	0
情韵	weaksubj	positive
请教	weaksubj	positive
遒媚	midsubj	positive
饶裕	strongsubj	positive
仁惠	midsubj	positive
荣获	midsubj	positive
柔美	midsubj	positive
瑞气	midsubj	positive
森郁	midsubj	positive
顺适	weaksubj	positive
生色	weaksubj	positive
盛举	midsubj	positive
盛宴	midsubj	positive
诗豪	strongsubj	positive
爽畅	midsubj	positive
揭幕	weaksubj	0
素朴	weaksubj	positive
重浊	weaksubj	negative
进献	weaksubj	0
转蓬	weaksubj	negative
敬酒	weaksubj	0
滋蔓	midsubj	negative
自居	midsubj	negative
走过场	midsubj	negative
阻绝	weaksubj	negative
嘴笨	weaksubj	negative
病恹恹	weaksubj	negative
淡然	weaksubj	positive
坐守	midsubj	negative
孤傲不群	weaksubj	3
黑漆漆	weaksubj	0
不屑于	midsubj	negative
发呆	weaksubj	0
威名	midsubj	positive
闻人	weaksubj	positive
蓊郁	midsubj	positive
无前	weaksubj	positive
喜报	midsubj	positive
先导	midsubj	positive
鲜润	midsubj	positive
显明	midsubj	positive
骁悍	midsubj	positive
介怀	weaksubj	0
新颜	midsubj	positive
欣跃	midsubj	positive
极顶	midsubj	positive
凄惶	weaksubj	negative
势成骑虎	midsubj	negative
雄浑	weaksubj	positive
雄视	weaksubj	positive
秀劲	midsubj	positive
煦暖	midsubj	positive
雪亮	midsubj	positive
雅饬	midsubj	positive
雅玩	midsubj	positive
抑郁寡欢	midsubj	0
燕尔	midsubj	positive
怡神	midsubj	positive
义士	midsubj	positive
英才	midsubj	positive
英挺	midsubj	positive
莹然	weaksubj	positive
顶礼膜拜	midsubj	positive
优抚	midsubj	positive
幽娴	midsubj	positive
有趣	midsubj	positive
有缘	midsubj	positive
腴润	midsubj	positive
渊深	midsubj	positive
佳节	strongsubj	positive
哀婉	weaksubj	negative
嘉慰	strongsubj	positive
坚确	midsubj	positive
简切	weaksubj	positive
拍案叫绝	midsubj	positive
见爱	strongsubj	positive
人心大快	midsubj	positive
健旺	strongsubj	positive
老虎屁股摸不得	weaksubj	negative
寥寂	midsubj	0
交映	weaksubj	positive
娇蓝	weaksubj	positive
娇婉	midsubj	positive
米珠薪桂	strongsubj	negative
牛气	midsubj	positive
